Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       21     0.00     0.00  std::remove_reference<std::_Deque_base<void (*)(int), std::allocator<void (*)(int)> >::_Deque_impl_data&>::type&& std::move<std::_Deque_base<void (*)(int), std::allocator<void (*)(int)> >::_Deque_impl_data&>(std::_Deque_base<void (*)(int), std::allocator<void (*)(int)> >::_Deque_impl_data&)
  0.00      0.00     0.00       20     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end() const
  0.00      0.00     0.00       20     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin() const
  0.00      0.00     0.00       20     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       19     0.00     0.00  std::thread::joinable() const
  0.00      0.00     0.00       19     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00      0.00     0.00       19     0.00     0.00  std::__cxx11::to_string(int)
  0.00      0.00     0.00       19     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  0.00      0.00     0.00       19     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  0.00      0.00     0.00       19     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::new_allocator()
  0.00      0.00     0.00       18     0.00     0.00  Tree::getWeight(int, int) const
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00       18     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       18     0.00     0.00  std::move_iterator<ActiveObject*>::base() const
  0.00      0.00     0.00       18     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00      0.00     0.00       18     0.00     0.00  std::_Bit_const_iterator::operator[](long) const
  0.00      0.00     0.00       18     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.00      0.00     0.00       18     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const
  0.00      0.00     0.00       18     0.00     0.00  std::allocator<std::vector<int, std::allocator<int> > >::allocator()
  0.00      0.00     0.00       18     0.00     0.00  std::_Deque_base<void (*)(int), std::allocator<void (*)(int)> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.00     0.00       18     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_create_storage(unsigned long)
  0.00      0.00     0.00       18     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_base(unsigned long, std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      0.00     0.00       18     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00      0.00     0.00       18     0.00     0.00  std::_Bit_const_iterator::operator+=(long)
